2.13865e-314,-200.259,130.351
2.13865e-314,-200.259,130.351
-175.432,129.832,122.315
2.13865e-314,-176.385,148.588
-138.259,176.593,51.036
2.13865e-314,-176.385,148.588
-158.02,164.255,71.4683
-169.459,159.48,137.348
-100.342,198.382,42.7667
-137.88,176.701,50.638
-65.6967,188.26,57.1703
-157.534,164.511,70.8495
-165.948,160.886,133.371
-99.4439,198.558,41.8956
-137.045,176.917,49.7637
-63.95,188.837,55.9734
-156.584,164.959,69.6722
-162.371,162.502,128.594
-97.8982,198.837,40.3742
-135.753,177.192,48.4155
-60.9861,189.794,53.9914
-155.27,165.522,68.0349
-157.978,164.157,123.344
-133.885,177.491,46.4971
-95.7405,199.184,38.2487
-56.9777,191.056,51.3367
-153.559,166.169,65.8921
-153.369,165.62,117.024
-131.553,177.77,44.0981
-93.0735,199.539,35.6434
-151.494,166.858,63.3259
-52.23,192.51,48.2981
-128.639,177.984,41.1226
-89.8995,199.925,32.5701
-148.979,167.568,60.2502
-46.8059,194.172,44.9169
-124.206,178.145,36.6469
-86.2752,200.319,29.0979
-146.361,168.188,57.1045
-40.9064,195.901,41.3092
-119.404,178.191,31.8557
-82.5289,200.662,25.5767
-143.411,168.78,53.592
-34.8051,197.54,37.6326
-128.914,166.818,86.726
-114.255,178.135,26.7498
-78.5219,200.941,21.8664
-139.99,169.354,49.587
-28.6998,198.971,33.8672
-126.6,166.113,83.6693
-108.832,177.988,21.4144
-74.4121,201.163,18.0619
-136.254,169.873,45.2798
-22.9824,200.186,30.0773
-123.923,165.303,80.3997
-103.314,177.737,16.0175
-70.4042,201.305,14.2869
-132.07,170.321,40.5746
-18.0006,201.129,26.4293
-120.915,164.417,76.9682
-97.6221,177.358,10.4621
-66.5555,201.38,10.5546
-127.367,170.676,35.3959
-13.613,201.829,22.8916
-117.566,163.425,73.2965
-92.1197,176.842,5.081
-62.9925,201.365,7.0175
-122.234,170.89,29.876
-9.93176,202.318,19.6861
-114.089,162.347,69.275
-86.8145,176.188,-0.114529
-59.7391,201.283,3.68598
-116.584,170.896,23.9272
-6.81283,202.656,16.757
-110.224,160.965,65.4712
-81.4752,175.34,-5.34111
-56.6427,201.109,0.435913
-110.404,170.624,17.5477
-4.13443,202.865,14.069
-106.188,159.356,61.8119
-76.1986,174.305,-10.4492
-53.6705,200.831,-2.72351
-103.921,170.008,11.0017
-1.84041,202.98,11.6718
-102.258,157.763,58.2891
-70.9734,173.074,-15.4446
-50.6217,200.401,-5.9552
-97.1204,168.995,4.31642
0.258961,203.012,9.46199
-98.2821,156.041,54.7007
-65.779,171.63,-20.2865
-47.5457,199.824,-9.17692
-90.2023,167.589,-2.29809
2.22231,202.965,7.42912
-94.3065,154.251,51.2591
-60.3993,169.918,-25.1405
-44.2024,199.029,-12.5857
-83.2095,165.786,-8.77864
4.21525,202.843,5.40996
-90.2727,152.365,47.8447
